project_id,год,регион,вуз_код,pat_foreign_2018,pat_foreign_2019,pat_foreign_2020,pat_foreign_2021,pat_foreign_2022,pat_foreign_2023,pat_foreign_2024,pat_foreign_cagr,pat_foreign_query,pat_foreign_total,pat_cagr_rus_18_24,pat_query_ru,pat_rus_2018,pat_rus_2019,pat_rus_2020,pat_rus_2021,pat_rus_2022,pat_rus_2023,pat_rus_2024,pat_rus_total,pub_2018,pub_2019,pub_2020,pub_2021,pub_2022,pub_2023,pub_2024,pub_cagr_18_24,pub_cite_avg,pub_query_en,pub_total,инвестиции,ключевые_слова_nlp,рынок,суть_проекта,справка_команда
P011,2025,Москва,U006,70,89,74,82,101,115,124,1000,"antimony purification, microelectronics materials, high-purity metals",655,0.0,АЛЛОЙТЕК AlloyTech очистка,0,0,0,0,0,0,0,0,7,6,11,8,9,18,12,0.094,282.0,antimony purification microelectronics materials,71,"Действующее юрлицо [ПРОЕКТ] (ОГРН [СКРЫТО], 16.12.2024); топ-10 и приз «Академии инноваторов».","[ПРОЕКТ] AlloyTech очистка сурьмы, высокочистые материалы микроэлектроника Сколтех, antimony purification, microelectronics materials, high-purity metals","Рыночный контекст (сектор «Экология/переработка», данные на момент подачи, 2025): отрасль сбора и утилизации отходов — лидер роста промпроизводства РФ (+35% в 2021, эффект «мусорной реформы»); доля переработки ТКО ≈ 10–12% (2022) — большой потенциал роста; переработка ТКО 3,89 млн т (2024, +19%); доля выросла с 9% (2020) до 15%.",[ПРОЕКТ] (AlloyTech) — технология очистки сурьмы и других материалов для микроэлектроники (Сколтех).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P012,2024,Республика Татарстан,U101,210,163,149,117,92,81,65,-1775,"podcast studio, audio video recording, media production",877,0.0,студия записи подкастов,0,0,0,0,0,0,0,0,132,173,188,215,200,273,221,0.0897,335.4,podcast studio audio video recording,1402,,"студия записи подкастов, видео аудио продакшн, podcast studio, audio video recording, media production","Рыночный контекст (сектор «Туризм/спорт/креатив», данные на момент подачи, 2024): внутренний турпоток РФ 66,5 млн поездок (2021, +40%); 73,1 млн поездок (2022, +10%); господдержка отрасли; 83,6 млн поездок (2023, +14%) — исторический рекорд.",[ПРОЕКТ] (Казанский аграрный университет).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P013,2022,Ростовская обл,U096,0,0,0,0,0,0,0,0,"running training plan app, personalized coaching SaaS, athletic performance software",0,0.0,персонализированный беговой план,0,0,0,0,0,0,0,0,7,8,4,15,15,13,10,0.0612,37.32,running training plan app personalized coaching SaaS,72,,"персонализированный беговой план, мобильное приложение тренер, running training plan app, personalized coaching SaaS, athletic","Рыночный контекст (сектор «Цифровое здоровье/wellness», данные на момент подачи, 2022): рынок телемедицинских консультаций РФ ≈ 5,6 млрд руб. (2020, BusinesStat); ≈ 6,7 млрд руб. (2021).","Мобильное приложение — цифровой тренер по бегу, формирующий персонализированные","Основатель (данные на момент подачи): образование/статус: студент/выпускник Донского государственного технического университета; разработчик мобильного приложения [ПРОЕКТ], формирующий индивидуальный беговой план; есть компетенции в мобильной разработке и спортивных технологиях."
P014,2024,Ханты-Мансийский автономный округ,U169,0,0,0,0,0,1,0,0,"VR oil gas training simulator, virtual reality professional training, immersive vocational education",1,0.0,VR-тренажёр нефтегазовая отрасль,0,0,0,0,0,0,0,0,10,12,26,26,30,36,116,0.5046,259.68,VR oil gas training simulator virtual reality professional training,256,Основной выбранный формат реализации проекта — индивидуальный,"VR-тренажёр нефтегазовая отрасль, виртуальная реальность обучение, VR oil gas training simulator, virtual reality professional training, immersive vocational","Рыночный контекст (сектор «VR/AR и иммерсивные», данные на момент подачи, 2024): рынок AR/VR РФ ≈ 1,4 млрд руб. (2020, +16%, ТМТ Консалтинг); прогноз роста до 6–7 млрд руб. к 2025 (≈ 30–40%/год); уход западных вендоров (2022); фокус на промышленное и образовательное применение.","ПО на основе виртуальной реальности, где точно отображены все","Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P015,2025,Санкт-Петербург,U075,0,0,1,0,0,0,0,0,"e-cigarette vape detector, indoor air quality school sensor, vaping detection device",1,0.0978,датчик электронных сигарет,4,6,4,2,4,0,7,27,0,0,0,4,2,1,3,0.2009,38.95,e-cigarette vape detector indoor air quality school sensor,10,,"датчик электронных сигарет вейп, мониторинг воздуха школа, e-cigarette vape detector, indoor air quality school sensor","Рыночный контекст (сектор «EdTech», данные на момент подачи, 2025): рынок EdTech РФ ≈ 35 млрд руб. (2019); быстрый рост онлайн-образования в пандемию (2020–2021), двузначные темпы топ-100 компаний; ≈ 88 млрд руб. (2022, BusinesStat); ≈ 118 млрд руб. (2023, +34%); утроение рынка за 4 года; прогнозные темпы роста 15–20% на 2024 (Smart Ranking).",Система мониторинга качества воздушной среды в общественных местах с детекцией курения,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P016,2022,Челябинская обл,U174,260,241,207,251,229,188,183,-569,"lead-free solder, eco-friendly soldering alloy, electronics soldering material",1559,0.0,бессвинцовый припой ПОИн-52,0,0,0,0,0,0,0,0,27,34,28,37,51,87,83,0.2058,388.48,lead-free solder eco-friendly soldering alloy,347,,"бессвинцовый припой ПОИн-52, экологичный припой электроника, lead-free solder, eco-friendly soldering alloy, electronics soldering material","Рыночный контекст (сектор «Экология/переработка», данные на момент подачи, 2022): отрасль сбора и утилизации отходов — лидер роста промпроизводства РФ (+35% в 2021, эффект «мусорной реформы»).",Разработка и производство бессвинцового припоя ПОИн-52 (экологичный припой для электроники и пайки).,"Основатель (данные на момент подачи): образование/статус: аспирант Политехнического института Южно-Уральского государственного университета, кафедра процессов и машин обработки металлов давлением; публикации: научные работы по ресурсосберегающей технологии изготовления бессвинцового припоя ПОИн-52 экструзией (Вестник ЮУрГУ); есть компетенции в обработке металлов давлением и материаловедении."
P017,2023,Москва,U094,2,0,0,0,0,0,0,0,"free parking finder, parking spot search, urban mobility parking",2,0.0,поиск свободного машиноместа,0,0,0,0,0,0,0,0,24,27,24,20,14,20,15,-0.0753,258.72,free parking finder parking spot search,144,,"поиск свободного машиноместа, парковочный сервис, free parking finder, parking spot search, urban mobility parking","Рыночный контекст (сектор «Строительство/городская среда», данные на момент подачи, 2023): рекордный ввод жилья и объёмы стройработ (2021); 170,9 тыс. сделок с готовым жильём; рост цен на стройматериалы +2,7% (2022); утверждена Стратегия развития стройотрасли до 2030.",[ПРОЕКТ] — сервис поиска свободных парковочных мест.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P018,2025,Москва,U086,0,9,3,2,0,0,0,0,"blood quality analyzer LIH, hemolysis detection device, laboratory sample quality control",14,0.0,LIH-анализатор качество крови,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.0,16.6,blood quality analyzer LIH hemolysis detection device,5,,"LIH-анализатор качество крови, гемолиз хилёз иктеричность детекция, blood quality analyzer LIH, hemolysis detection device, laboratory","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2025): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%); ≈ 593 млрд руб. (2022, +6%); курс на импортозамещение медтехники; ≈ 639 млрд руб. (2023, +8%); производство медоборудования в РФ ≈ 50 млрд руб. (Росстат); медтех-сегмент: рост ≈ +18% (2024) после +27% (2023, Smart Ranking).","Анализатор качества крови, определяющий показатели гемолиза, хилёза и иктеричности (LIH) образцов.",Основатель (данные на момент подачи): образование/статус: студентка Сеченовского Университета; генеральный директор ООО [КОМПАНИЯ]; разработчик портативного глюкометра на основе рамановской спектроскопии для неинвазивного измерения гликированного гемоглобина и глюкозы (HemoTech AI); есть компетенции в биомедицинских технологиях и разработке медицинских приборов.
P019,2023,Калининградская область,U055,1,5,1,1,2,2,4,2599,"magnetic nanoparticles water purification, nanocomposite sorbent, magnetic water cleaner",16,-0.0653,магнитные наночастицы очистка,6,8,1,1,1,4,4,25,258,323,419,559,854,1475,986,0.2504,1075.96,magnetic nanoparticles water purification nanocomposite sorbent,4874,,"магнитные наночастицы очистка воды, бинарный нанокомпозит сорбент, magnetic nanoparticles water purification, nanocomposite sorbent, magnetic water cleaner","Рыночный контекст (сектор «Экология/переработка», данные на момент подачи, 2023): отрасль сбора и утилизации отходов — лидер роста промпроизводства РФ (+35% в 2021, эффект «мусорной реформы»); доля переработки ТКО ≈ 10–12% (2022) — большой потенциал роста.",[ПРОЕКТ].,Основатель (данные на момент подачи): образование/статус: младший научный сотрудник лаборатории нано- и микромагнетизма Балтийского федерального университета им. И. Канта; разработчик бинарного нанокомпозита на основе магнитных наночастиц для очистки воды; есть компетенции в нанотехнологиях и физике магнитных материалов.
P020,2022,Москва г,U135,0,2,1,9,8,10,11,4913,"VR training automotive repair, virtual digital twin, mixed reality vocational training",41,0.0,VR-обучение ремонту машин,0,0,0,0,0,0,0,0,7,18,27,32,54,115,127,0.621,560.4,VR training automotive repair virtual digital twin,380,,"VR-обучение ремонту машин, виртуальный цифровой двойник, VR training automotive repair, virtual digital twin, mixed","Рыночный контекст (сектор «VR/AR и иммерсивные», данные на момент подачи, 2022): рынок AR/VR РФ ≈ 1,4 млрд руб. (2020, +16%, ТМТ Консалтинг); прогноз роста до 6–7 млрд руб. к 2025 (≈ 30–40%/год).",Разработка обучающих VR-программ для сервиса и ремонта технологических машин с использованием,"Основатель (данные на момент подачи): образование/статус: студент РГАУ-МСХА им. К.А. Тимирязева; разработчик на Unreal Engine 4, капитан команды проекта «VR-Механик» — обучающих VR-программ для технического обслуживания и ремонта агропромышленных машин; есть компетенции в VR-разработке и промышленных симуляторах."
P021,2024,Москва,U133,47,71,91,108,166,154,181,2520,"FeedBank platform, feedback service, digital service",818,0.0,FeedBank сервис РАНХиГС,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,FeedBank platform feedback service,0,,"[ПРОЕКТ] сервис РАНХиГС, цифровой стартап обратная связь, [ПРОЕКТ] platform, feedback service, digital service","Рыночный контекст (сектор «IT-сервисы/платформы», данные на момент подачи, 2024): объём ИТ-рынка РФ ≈ 1,8 трлн руб. (2020); рост до ≈ 2,2 трлн руб. (2021); спад до ≈ 1,9 трлн руб. на фоне ухода зарубежных вендоров; тиражное ПО ≈ 287 млрд руб. (2022); восстановление ИТ-рынка ≈ +12% (2023), драйвер — импортозамещение ПО.",[ПРОЕКТ] — проект основателя из РАНХиГС (цифровой сервис обратной связи/данных; детали уточняются).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P022,2024,Тюменская область,U082,1,1,0,0,1,1,1,0,"Kaleidoscope project, TyumSU startup, student project",5,0.0,Калейдоскоп проект ТюмГУ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Kaleidoscope project TyumSU startup,0,,"[ПРОЕКТ] проект ТюмГУ, студенческий стартап, Kaleidoscope project, TyumSU startup, student project",,[ПРОЕКТ] — проект основателя из Тюменского госуниверситета; детали уточняются.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P023,2023,Москва,U086,0,0,0,0,0,0,0,0,"AI skin lesion classification, melanoma detection neural network, dermatology deep learning",0,0.0,ИИ диагностика новообразований,0,2,0,0,0,1,0,3,67,107,200,326,454,941,1452,0.6697,1745.44,AI skin lesion classification melanoma detection neural network,3547,,"ИИ диагностика новообразований кожи, классификация меланомы нейросеть, AI skin lesion classification, melanoma detection neural network, dermatology","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2023): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%); ≈ 593 млрд руб. (2022, +6%); курс на импортозамещение медтехники.","Анализ искусственным интеллектом фотографий новообразований кожи. В отличие от конкурентов, нейросеть обучалась диагностике","Поиск сведений об основателе проведён по открытым источникам за период до даты подачи заявки. По указанному ФИО найдено несколько разных людей с одинаковым именем и фамилией, и точно идентифицировать искомого основателя среди них не удалось. Сведения от такого поиска нельзя надёжно отнести к конкретному основателю — это трудности идентификации, а не отрицательный сигнал."
P024,2023,Севастополь,U076,0,0,0,0,0,0,0,0,"marine pollution prediction system, water quality AI monitoring, ocean ecosystem modeling",0,0.0,прогнозирование загрязнения морской,0,1,1,0,0,0,0,2,183,252,330,380,542,1120,1367,0.3981,1787.8,marine pollution prediction system water quality AI monitoring,4174,,"прогнозирование загрязнения морской экосистемы, мониторинг воды ИИ, marine pollution prediction system, water quality AI monitoring, ocean","Рыночный контекст (сектор «Экология/переработка», данные на момент подачи, 2023): отрасль сбора и утилизации отходов — лидер роста промпроизводства РФ (+35% в 2021, эффект «мусорной реформы»); доля переработки ТКО ≈ 10–12% (2022) — большой потенциал роста.","Основные конкуренты продукта — зарубежные компании: Jinbo Marine, HI-SEA",Основатель (данные на момент подачи): образование/статус: студент-магистрант кафедры «Радиоэлектронные системы и комплексы» СевГУ; разработчик информационной системы «[ПРОЕКТ]» для прогнозирования загрязнения морской экосистемы; победитель Всероссийского инженерного конкурса; есть компетенции в IoT-системах и экологическом мониторинге.
P025,2023,Москва,U133,0,0,0,0,0,0,0,0,"phygital fashion NFC tag, smart clothing digital label, connected garment NFC",0,0.0,фиджитал одежда NFC-метка,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,30.0,phygital fashion NFC tag smart clothing digital label,1,,"фиджитал одежда NFC-метка, умная базовая одежда, phygital fashion NFC tag, smart clothing digital label","Рыночный контекст (сектор «AI/аналитика данных», данные на момент подачи, 2023): рост рынка ИИ РФ +22,4% (2020); +28% (2021) — максимальные темпы за 5 лет; запуск федпроекта «Искусственный интеллект»; объём рынка ИИ РФ ≈ 647 млрд руб. (2022, МФТИ).","Фиджитал одежда — это базовая минималистичная одежда, которая легко сочетается между собой. В","Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P026,2022,Ставропольский край,U080,97,81,91,88,122,133,155,813,"petrothermal energy extraction, geothermal power, deep rock heat mining",767,0.0,петротермальная энергия,0,1,0,0,0,0,0,1,5,10,5,14,11,9,31,0.3554,65.64,petrothermal energy extraction geothermal power,85,,"петротермальная энергия, геотермальная добыча тепла, petrothermal energy extraction, geothermal power","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2022): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК.",Технология добычи альтернативной тепловой энергии из возобновляемого,Основатель (данные на момент подачи): образование/статус: выпускник СКФУ (инженер по специальности «Бурение нефтяных и газовых скважин»); научный сотрудник Института перспективных исследований СКФУ; разработчик технологии добычи тепловой энергии из петротермального источника; есть компетенции в геотехнике и петротермальной энергетике.
